M_ID,NAME
312,Hot Shots! Part Deux
313,Loaded Weapon 1
314,Point of No Return
315,Little Buddha
316,Poetic Justice
317,The Cement Garden
318,Swing Kids
319,The Man Without a Face
320,Shadowlands
321,We're Back! A Dinosaur's Story
322,Calendar Girl
323,Once Upon a Forest
324,Life with Mikey
325,Father Hood
326,Mr. Wonderful
327,Bhaji on the Beach
328,Silent Tongue
329,Stargate
330,Little Giants
331,The River Wild
332,Blown Away
333,North
334,It Could Happen to You
335,Three Colors: White
336,8 Seconds
337,Greedy
338,Miracle on 34th Street
339,Andre
340,Highlander: The Final Dimension
341,Guarding Tess
342,Drop Zone
343,Trapped in Paradise
344,Fresh
345,The Scout
346,Leprechaun 2
347,Mixed Nuts
348,Swimming with Sharks
349,Being Human
350,Species
351,Now and Then
352,Ghost in the Shell
353,Babe
354,Judge Dredd
355,A Little Princess
356,Under Siege 2: Dark Territory
357,Dead Man
358,First Knight
359,Assassins
360,Welcome to the Dollhouse
361,The Indian in the Cupboard
362,Rumble in the Bronx
363,Living in Oblivion
364,Candyman: Farewell to the Flesh
365,Nixon
366,Screamers
367,Kiss of Death
368,La Cérémonie
369,New Jersey Drive
370,Antonia's Line
371,Nelly & Monsieur Arnaud
372,Romeo + Juliet
373,From Dusk Till Dawn
374,Happy Gilmore
375,101 Dalmatians
376,The Crucible
377,Waiting for Guffman
378,She's the One
379,Shine
380,Multiplicity
381,Muppet Treasure Island
382,Manny & Lo
383,Blood and Wine
384,Bad Moon
385,Lawnmower Man 2: Beyond Cyberspace
386,The Funeral
387,The Devil's Advocate
388,Con Air
389,Alien: Resurrection
390,Cube
391,Perfect Blue
392,The Edge
393,Lost Highway
394,Orgazmo
395,The Boxer
396,Turbo: A Power Rangers Movie
397,Addicted to Love
398,Affliction
399,Deconstructing Harry
400,A Life Less Ordinary
401,Gridlock'd
402,Leave It to Beaver
403,Star Kid
404,The Assignment
405,The Wedding Singer
406,A Bug's Life
407,Bride of Chucky
408,Run Lola Run
409,City of Angels
410,Half Baked
411,I Stand Alone
412,A Night at the Roxbury
413,BASEketball
414,L'ennui
415,SLC Punk!
416,Very Bad Things
417,The Rugrats Movie
418,After Life
419,Austin Powers: the Spy Who Shagged Me
420,Romance
421,Big Daddy
422,The Ninth Gate
423,Never Been Kissed
424,The Bone Collector
425,Summer of Sam
426,Three Kings
427,Man on the Moon
428,All About My Mother
429,Drive Me Crazy
430,The Other Sister
431,Angela's Ashes
432,200 Cigarettes
433,The Deep End of the Ocean
434,Godzilla 2000: Millennium
435,Rosetta
436,An Affair of Love
437,Space Cowboys
438,Charlie's Angels
439,The Cell
440,Best in Show
441,What Women Want
442,Pay It Forward
443,Titan A.E.
444,Thirteen Days
445,All the Pretty Horses
446,Left Behind: The Movie
447,Werckmeister Harmonies
448,Maelstrom
449,Gangster No. 1
450,Bread and Tulips
451,Harrison's Flowers
452,The Super
453,Dead Alive
454,Article 99
455,Mad Dog and Glory
456,The Adventures of Huck Finn
457,Beverly Hills Cop III
458,Death and the Maiden
459,Cemetery Man
460,House Party 3
461,Die Hard with a Vengeance
462,Mortal Kombat
463,Empire Records
464,Wild Bill
465,Man of the House
466,Losing Isaiah
467,The Island of Dr. Moreau
468,Chain Reaction
469,Jude
470,Foxfire
471,If Lucy Fell
472,The Rainmaker
473,Anaconda
474,B*A*P*S
475,Wild America
476,Bent
477,One Night Stand
478,Two Girls and a Guy
479,Most Wanted
480,Saving Private Ryan
481,Rounders
482,Lethal Weapon 4
483,54
484,Your Friends and Neighbors
485,Homegrown
486,Office Space
487,Lake Placid
488,The Rage: Carrie 2
489,In Dreams
490,A Room for Romeo Brass
491,Erin Brockovich
492,The Family Man
493,Love & Sex
494,The Yards
495,Brother
496,The House of Mirth
497,The Beautician and the Beast
498,Legally Blonde
499,Spirited Away
500,A Beautiful Mind
501,Rat Race
502,Hardball
503,Behind Enemy Lines
504,Save the Last Dance
505,The Animal
506,The Wedding Planner
507,Kate & Leopold
508,Bandits
509,An American Rhapsody
510,Hearts in Atlantis
511,America's Sweethearts
512,15 Minutes
513,Iris
514,Crazy/Beautiful
515,Angel Eyes
516,Human Nature
517,Made
518,The Deep End
519,Glitter
520,Gangs of New York
521,Panic Room
522,Lilo & Stitch
523,Die Another Day
524,The Time Machine
525,Blade II
526,Queen of the Damned
527,Orange County
528,Infernal Affairs
529,Drumline
530,Asterix & Obelix: Mission Cleopatra
531,Swimfan
532,Big Trouble
533,S1m0ne
534,The Magdalene Sisters
535,Nicholas Nickleby
536,The Banger Sisters
537,Eight Crazy Nights
538,Ted Bundy
539,The Emperor's Club
540,All or Nothing
541,City by the Sea
542,The Life of David Gale
543,Lost in Translation
544,Hulk
545,School of Rock
546,The Matrix Revolutions
547,Holes
548,The Rundown
549,How to Lose a Guy in 10 Days
550,Charlie's Angels: Full Throttle
551,Legally Blonde 2
552,Tears of the Sun
553,Final Destination 2
554,High Tension
555,Basic
556,Willard
557,It Runs in the Family
558,My Boss's Daughter
559,Owning Mahowny
560,Head of State
561,Code 46
562,The Mother
563,My Life Without Me
564,How to Deal
565,Eternal Sunshine of the Spotless Mind
566,The Notebook
567,Saw
568,"I, Robot"
569,My Summer of Love
570,The Bourne Supremacy
571,Alexander
572,Sideways
573,Along Came Polly
574,The Ladykillers
575,Seed of Chucky
