C_ID,COMPANY
281,Rakeysh Omprakash Mehra Pictures
282,Bob Industries
283,1984 Private Defense Contractors
284,Beijing Skywheel Entertainment Co.
285,Duplass Brothers Productions
286,Fortis Films
287,Fluidity Films
288,Boies / Schiller Film Group
289,TSG Entertainment
290,UV Creations
301,Columbia Pictures
302,ITC Films
303,EMI Films
304,Melvin Simon Productions
305,Jack Rollins & Charles H. Joffe Productions
306,Aspen Productions (I)
307,Gurian Entertainment
308,International Cinema
309,East Asia Film Company
310,Fulvia Film
311,C & C Brown Production
312,Balkan Productions
313,International Film Investors
314,Goldcrest Films International
315,Rankin/Bass Productions
316,Henson Associates (HA)
317,Deliverance Productions
318,DeHaven/Shapiro Productions
319,CBS Theatrical Films
320,PolyGram Pictures
321,Leisure Investment Company
322,Jensen Farley Pictures
323,Cypress Grove
324,Blueline Productions
325,Atlantic Entertainment Group
326,Tiberius Film Productions
327,Walt Disney Pictures
328,Channel Four Films
329,Constantin Film
330,Spinal Tap Prod.
331,Films de L'Alma
332,Racing Pictures
333,Conacite Uno
334,HBO Pictures
335,Legend Production Company
336,Mirage Enterprises
337,Desert Hearts Productions
338,Edgar J. Scherick Associates
339,Gaumont International
340,Calendar Productions
341,Toho Company
342,Bud Yorkin Productions
343,PfH Ltd.
344,Lynn-Davis Productions
345,The Rejoycing Company
346,Maljack Productions
347,Fuji Television Network
348,Escalante Productions
349,Blake Edwards
350,Ciné Valse
351,Caméras Continentales
352,Cinetel Films
353,Circle Films
354,Emshell Producers
355,Heron Communications
356,Per Holst Filmproduktion
357,H.I.T. Films
358,Northern
359,In-Cine Compañía Industrial Cinematográfica
360,Aljosha
361,Kindred Limited Partnership
362,Sarlui / Diamant
363,Mac and Me Joint Venture
364,Shapiro-Glickenhaus Entertainment
365,National Broadcasting Company (NBC)
366,Jascat
367,Cinema Group
368,Burrowes Film Group
369,Cinecom Pictures
370,Crescent Moon
371,White Eagle
372,Magnum Pictures Inc.
373,Allied Vision
374,Braunstein and Hamady Productions
375,Initial Film and Television
376,Edward R. Pressman Productions
377,Bayerischer Rundfunk (BR)
378,Silverman Entertainment
